GHO;Indicator;PUBLISH STATES;Year;WHO region;Country;Age Group;Sex;Display Value;Numeric Value;Low Value;High Value;Comments
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Eastern Mediterranean;Afghanistan;20+;Male;21.4 [18.8-24.1];21.4;18.8;24.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1983;Eastern Mediterranean;Afghanistan;20+;Male;21.4 [18.9-23.9];21.4;18.9;23.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Eastern Mediterranean;Afghanistan;20+;Male;21.2 [19.0-23.5];21.2;19;23.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1992;Eastern Mediterranean;Afghanistan;20+;Male;21.1 [18.9-23.3];21.1;18.9;23.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1999;Eastern Mediterranean;Afghanistan;20+;Male;20.8 [18.6-23.0];20.8;18.6;23;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2001;Eastern Mediterranean;Afghanistan;20+;Male;20.7 [18.4-22.9];20.7;18.4;22.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Eastern Mediterranean;Afghanistan;20+;Male;20.7 [18.3-23.0];20.7;18.3;23;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1980;Europe;Albania;20+;Male;25.0 [22.8-27.2];25;22.8;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;Europe;Albania;20+;Male;25.1 [23.4-26.8];25.1;23.4;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1989;Europe;Albania;20+;Male;25.2 [23.5-26.8];25.2;23.5;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;Europe;Albania;20+;Male;25.2 [23.8-26.7];25.2;23.8;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1998;Europe;Albania;20+;Male;25.3 [23.9-26.7];25.3;23.9;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;Europe;Albania;20+;Male;25.9 [24.5-27.3];25.9;24.5;27.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2005;Europe;Albania;20+;Male;26.2 [24.7-27.7];26.2;24.7;27.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2007;Europe;Albania;20+;Male;26.5 [24.9-28.0];26.5;24.9;28;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Africa;Algeria;20+;Male;22.5 [21.0-24.1];22.5;21;24.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1986;Africa;Algeria;20+;Male;22.7 [21.2-24.2];22.7;21.2;24.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Africa;Algeria;20+;Male;23.2 [22.0-24.4];23.2;22;24.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1995;Africa;Algeria;20+;Male;23.4 [22.3-24.4];23.4;22.3;24.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Africa;Algeria;20+;Male;23.8 [22.8-24.7];23.8;22.8;24.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2002;Africa;Algeria;20+;Male;24.0 [23.1-24.9];24;23.1;24.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2004;Africa;Algeria;20+;Male;24.2 [23.3-25.1];24.2;23.3;25.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Europe;Andorra;20+;Male;25.7 [23.4-28.0];25.7;23.4;28;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1983;Europe;Andorra;20+;Male;25.8 [23.6-28.0];25.8;23.6;28;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Europe;Andorra;20+;Male;26.1 [24.0-28.2];26.1;24;28.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1992;Europe;Andorra;20+;Male;26.2 [24.2-28.3];26.2;24.2;28.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Europe;Andorra;20+;Male;26.6 [24.5-28.7];26.6;24.5;28.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1999;Europe;Andorra;20+;Male;26.7 [24.7-28.8];26.7;24.7;28.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2001;Europe;Andorra;20+;Male;26.9 [24.8-29.0];26.9;24.8;29;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Europe;Andorra;20+;Male;27.4 [25.3-29.6];27.4;25.3;29.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1980;Africa;Angola;20+;Male;20.9 [17.5-24.5];20.9;17.5;24.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;Africa;Angola;20+;Male;20.9 [18.0-23.8];20.9;18;23.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1989;Africa;Angola;20+;Male;21.0 [18.2-23.8];21;18.2;23.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;Africa;Angola;20+;Male;21.2 [18.6-23.7];21.2;18.6;23.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1998;Africa;Angola;20+;Male;21.3 [18.7-23.7];21.3;18.7;23.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;Africa;Angola;20+;Male;21.6 [19.1-24.0];21.6;19.1;24;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2005;Africa;Angola;20+;Male;21.8 [19.3-24.2];21.8;19.3;24.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Americas;Antigua and Barbuda;20+;Male;23.6 [21.3-26.0];23.6;21.3;26;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1986;Americas;Antigua and Barbuda;20+;Male;23.8 [21.5-26.1];23.8;21.5;26.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Americas;Antigua and Barbuda;20+;Male;24.5 [22.4-26.7];24.5;22.4;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1995;Americas;Antigua and Barbuda;20+;Male;24.7 [22.5-26.8];24.7;22.5;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Americas;Antigua and Barbuda;20+;Male;25.0 [22.8-27.2];25;22.8;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2002;Americas;Antigua and Barbuda;20+;Male;25.2 [23.0-27.3];25.2;23;27.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Americas;Argentina;20+;Male;25.4 [24.1-26.7];25.4;24.1;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1983;Americas;Argentina;20+;Male;25.5 [24.4-26.6];25.5;24.4;26.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Americas;Argentina;20+;Male;25.9 [25.1-26.7];25.9;25.1;26.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1992;Americas;Argentina;20+;Male;26.1 [25.3-26.8];26.1;25.3;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Americas;Argentina;20+;Male;26.6 [25.9-27.3];26.6;25.9;27.3;
